#Indent,Branch,PV,Description,Latch,Delay,Filter,Guidance
0,FEE DEVICES,,,,,,
1,KFE DEVICES,,,,,,
2,MR1K3:SOMS,,,,,,
,,MR1K3:SOMS:FWM:1_RBV,FLOW SENSOR 1,,,,
,,MR1K3:SOMS:FWM:2_RBV,FLOW SENSOR 2,,,,
,,MR1K3:SOMS:PRSM:1_RBV,COOL PRESSURE,,,,
2,MR2K3:SOMS,,,,,,
,,MR2K3:SOMS:FWM:1_RBV,FLOW SENSOR 1,,,,
,,MR2K3:SOMS:FWM:2_RBV,FLOW SENSOR 2,,,,
,,MR2K3:SOMS:PRSM:1_RBV,COOL PRESSURE,,,,
1,LFE DEVICES,,,,,,
2,MR1L1:HOMS,,,,,,
,,MR1L1:HOMS:FWM:1_RBV,FLOW SENSOR 1,,,,
,,MR1L1:HOMS:FWM:2_RBV,FLOW SENSOR 2,,,,
,,MR1L1:HOMS:PRSM:1_RBV,COOL PRESSURE,,,,
